"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"16233","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2025-2026/227564","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","15-Oct-2025","JAGGNATH TRADERS","Payment Success","1600000"
"16234","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2025-2026/227564","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","17-Jan-2026","JAGGNATH TRADERS","Payment Success","400000"
"16235","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/112326","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","31-May-2024","RAJESHWARI TRADERS","Payment Success","99780"
"16236","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/112326","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","15-Mar-2024","RAJESHWARI TRADERS","Payment Success","400220"
"16237","Madhya Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP107/2023-2024/90549","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","06-Mar-2024","RAJESHWARI TRADERS","Payment Success","260000"
"16238","Madhya Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP107/2023-2024/90549","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","31-May-2024","RAJESHWARI TRADERS","Payment Success","340000"
"16239","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/251218","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","06-Jan-2026","GRAM PANCHAYAT JASALPUR","Payment Success","400000"
"16240","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/251218","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","27-Apr-2026","GRAM PANCHAYAT JASALPUR","Payment Success","399000"
"16241","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18316/2025-2026/176214","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-Feb-2026","SACHIV GRAM PANCHAYAT RAIPUR","Payment Success","48900"
"16242","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18316/2025-2026/176214","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","12-Aug-2025","SACHIV GRAM PANCHAYAT RAIPUR","Payment Success","50000"
"16243","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP096/2024-2025/164035","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","16-Jan-2025","Hykon India Limited","Payment Success","109970"
"16244","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP106/2025-2026/205965","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","24-Jul-2025","GRAM PANCHAYAT JHOT","Payment Success","375000"
"16245","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/1601","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","24-Jul-2025","GRAM PANCHAYAT JHOT","Payment Success","350000"
"16246","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP106/2025-2026/205965","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","01-Jul-2025","GRAM PANCHAYAT JHOT","Payment Success","750000"
"16247","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/1601","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","03-Jun-2025","GRAM PANCHAYAT JHOT","Payment Success","350000"
"16248","Uttar Pradesh","Street lights","WS/MP186/2024-2025/141377","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","01-Jul-2025","BDO PAHADI","Payment Success","4624"
"16249","Uttar Pradesh","Construction of footpaths and pedestrian ways","WS/MP186/2024-2025/141254","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","01-Jul-2025","BDO PAHADI","Payment Success","12443"
"16250","Uttar Pradesh","Construction of footpaths and pedestrian ways","WS/MP186/2024-2025/141233","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","01-Jul-2025","BDO PAHADI","Payment Success","512520"
"16251","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP186/2023-2024/81760","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Oct-2024","BDO PAHADI","Payment Success","492320"
"16252","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP186/2023-2024/81760","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","09-Apr-2024","BDO PAHADI","Payment Success","91640"
"16253","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2023-2024/108004","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","29-Feb-2024","Gram Panchayat MAJEEDGARH","Payment Success","700000"
"16254","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP107/2023-2024/108004","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","05-Jun-2024","Gram Panchayat MAJEEDGARH","Payment Success","287450"
"16255","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2024-2025/145836","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","15-Apr-2026","GRAM PANCHAYAT SHAHADPUR","Payment Success","600000"
"16256","Madhya Pradesh","Construction of culverts and bridges","WS/MP107/2024-2025/145836","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","17-Feb-2025","GRAM PANCHAYAT SHAHADPUR","Payment Success","400000"
"16257","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18331/2025-2026/236658","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","12-May-2026","Redhika Infra","Payment Success","360891"
"16258","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18331/2025-2026/236658","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Shri Tejveer Singh (2024-30) (2024-2030)","Elected MP","12-Mar-2026","Redhika Infra","Payment Success","1038400"
"16259","Tamil Nadu","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP165/2025-2026/216571","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","12-Mar-2026","S MEYYAPPAN","Payment Success","760030"
"16260","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/156162","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","25-Sep-2025","MC Shimla Rajya Sabha","Payment Success","300000"
"16261","Himachal Pradesh","Street lights","WS/MP078/2023-2024/13577","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","100000"
"16262","Himachal Pradesh","Street lights","WS/MP078/2023-2024/48494","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","100000"
"16263","Himachal Pradesh","Development of public parks","WS/MP18304/2025-2026/221001","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","300000"
"16264","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/190271","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","300000"
"16265","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18304/2025-2026/190165","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","300000"
"16266","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18304/2025-2026/192520","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","150000"
"16267","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18304/2025-2026/192521","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","150000"
"16268","Himachal Pradesh","Construction of shelters for animals","WS/MP18304/2025-2026/192560","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","12-Dec-2025","MC Shimla Rajya Sabha","Payment Success","100000"
"16269","Himachal Pradesh","Street lights","WS/MP078/2024-2025/28572","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-May-2025","MC Shimla Rajya Sabha","Payment Success","99450"
"16270","Himachal Pradesh","Purchase of hospital equipment","WS/MP18304/2024-2025/134206","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","26-May-2026","MC Shimla Rajya Sabha","Payment Success","500000"
"16271","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP078/2024-2025/25530","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","08-Aug-2025","MC Shimla Rajya Sabha","Payment Success","300000"
"16272","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/146840","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","21-Jul-2025","MC Shimla Rajya Sabha","Payment Success","300000"
"16273","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2024-2025/147889","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","21-Jul-2025","MC Shimla Rajya Sabha","Payment Success","400000"
"16274","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/83255","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","02-Sep-2024","GRAM PANCHAYAT MITHRA KHURD","Payment Success","800000"
"16275","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2023-2024/14909","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","07-Jul-2025","GRAM PANCHAYAT MITHRA KHURD","Payment Success","300000"
"16276","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2023-2024/14909","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","29-Feb-2024","GRAM PANCHAYAT MITHRA KHURD","Payment Success","1200000"
"16277","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2024-2025/150899","VIDISHA(District Collector Vidisha_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Sep-2025","DHOBIKHEDA","Payment Success","70000"
"16278","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/154253","VIDISHA(District Collector Vidisha_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","28-May-2025","DHOBIKHEDA","Payment Success","50000"
"16279","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/154253","VIDISHA(District Collector Vidisha_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","26-Dec-2024","DHOBIKHEDA","Payment Success","200000"
"16280","Madhya Pradesh","Construction of culverts and bridges","WS/MP106/2024-2025/150899","VIDISHA(District Collector Vidisha_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","26-Dec-2024","DHOBIKHEDA","Payment Success","280000"
"16281","Madhya Pradesh","Purchase Books for Library","WS/MP106/2023-2024/22620","MANDLA(DISTRICT COLLECTOR MANDLA_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","01-Mar-2024","JILA ADHIVAKTA SANGH","Payment Success","50000"
"16282","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238246","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","09-Jul-2026","DMF FUND NAYAGARH","Payment Success","407"
"16283","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238264","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","17-Jul-2026","DMF FUND NAYAGARH","Payment Success","2"
"16284","Odisha","Construction of bus-sheds or bus-stops","WS/MP131/2026-2027/273372","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","07-Aug-2026","DMF FUND NAYAGARH","Payment Success","421"
"16285","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238243","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","11-Jun-2026","DMF FUND NAYAGARH","Payment Success","162"
"16286","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238244","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","29-Jul-2026","DMF FUND NAYAGARH","Payment Success","1"
"16287","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/10166","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","01-Mar-2024","GP KIRGI","Payment Success","500000"
"16288","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/10166","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","30-Jan-2026","GP KIRGI","Payment Success","498400"
"16289","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","11-Mar-2024","Patel Devlopers","Payment Success","300000"
"16290","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","11-Mar-2024","Patel Devlopers","Payment Success","99000"
"16291","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Patel Devlopers","Payment Success","200000"
"16292","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Patel Devlopers","Payment Success","125000"
"16293","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Patel Devlopers","Payment Success","125000"
"16294","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Dinesh Patel","Payment Success","75000"
"16295","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Dinesh Patel","Payment Success","75000"
"16296","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2026-2027/259673","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Jul-2026","GRAM PANCHYAT LUHARI","Payment Success","350000"
"16297","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/84228","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","29-Feb-2024","GRAM PANCHYAT LUHARI","Payment Success","450000"
"16298","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2023-2024/84228","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","28-Jun-2024","GRAM PANCHYAT LUHARI","Payment Success","250000"
"16299","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2025-2026/230379","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","09-Feb-2026","NP AMARKANTAK","Payment Success","500000"
"16300","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34203","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","11-Mar-2024","Shri Sai Traders prop hakam chouhan","Payment Success","399500"
"16301","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34203","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","13-Nov-2024","Shri Sai Traders prop hakam chouhan","Payment Success","589550"
"16302","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2023-2024/93838","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","03-Jul-2024","MS SARPANCH GRAM PANCHAYAT JHINJHINYALI","Payment Success","500000"
"16303","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2023-2024/93838","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","11-Mar-2024","MS SARPANCH GRAM PANCHAYAT JHINJHINYALI","Payment Success","500000"
"16304","Uttar Pradesh","Installing community drinking water plants","WS/MP190/2023-2024/18878","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","27-Jun-2024","KARISHMA CONSTRUCTION","Payment Success","160075"
"16305","Uttar Pradesh","Installing community drinking water plants","WS/MP190/2023-2024/18879","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","27-Jun-2024","KARISHMA CONSTRUCTION","Payment Success","160075"
"16306","Uttar Pradesh","Installing community drinking water plants","WS/MP190/2023-2024/18879","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","17-Jan-2025","KARISHMA CONSTRUCTION","Payment Success","63423"
"16307","Uttar Pradesh","Installing community drinking water plants","WS/MP190/2023-2024/18878","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","17-Jan-2025","KARISHMA CONSTRUCTION","Payment Success","63423"
"16308","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56788","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Mar-2024","TRIBAL ENTERPRISE","Payment Success","1250000"
"16309","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56788","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","26-Jul-2024","TRIBAL ENTERPRISE","Payment Success","1250000"
"16310","Odisha","Construction of rooms and halls in school and colleges","WS/MP131/2024-2025/92627","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","11-Dec-2025","Prasanta Kumar Sahoo JE","Payment Success","690632"
"16311","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/33332","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","01-Mar-2024","KALAWATI GOODS SUPPLIERS PROPRIETOR SONU KUMAR","Payment Success","994307"
"16312","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/33300","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","15-Mar-2024","RAJAN MOBILE WORLD SALES SERVICE ELECTRIC AND ELECTRONIC PROPRIETOR RAJAN KUMAR","Payment Success","989529"
"16313","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/203124","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","26-Feb-2026","GP Rinda","Payment Success","100000"
"16314","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/202963","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","23-Sep-2025","GP Rinda","Payment Success","100000"
"16315","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/203124","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","23-Jul-2025","GP Rinda","Payment Success","100000"
"16316","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Mar-2026","Modgil Concrete industry","Payment Success","27440"
"16317","Punjab","Providing drains and gutters for public drainage","WS/MP235/2025-2026/241413","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-Mar-2026","Modgil Concrete industry","Payment Success","32930"
"16318","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","25-Jun-2024","Shree Sanwariya Construction","Payment Success","232575"
"16319","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","25-Jun-2024","Shree Sanwariya Construction","Payment Success","287425"
"16320","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","06-Mar-2024","Shree Sanwariya Construction","Payment Success","263830"
"16321","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","06-Mar-2024","Shree Sanwariya Construction","Payment Success","60928"
"16322","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","06-Mar-2024","Rohit","Payment Success","37000"
"16323","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","06-Mar-2024","Rohit","Payment Success","38000"
"16324","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","25-Jun-2024","Rohit","Payment Success","35000"
"16325","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34205","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","25-Jun-2024","Rohit","Payment Success","35000"
"16326","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/34204","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","29-Jul-2024","Shree Sanwariya Traders","Payment Success","274890"
