"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"6437","Normal/Others","WS/MP084/2024-2025/39236-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Concrete Road development work.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","28-Jul-2025","499365"
"6438","Normal/Others","WS/MP140/2025-2026/168874-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","28-Jul-2025","365800"
"6439","Normal/Others","WS/MP163/2024-2025/136105-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 2nd  street in  Nethaji Nagar, Arumbanur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","28-Jul-2025","995396"
"6440","Normal/Others","WS/MP847/2025-2026/137518-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6441","Normal/Others","WS/MP847/2025-2026/137522-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6442","Normal/Others","WS/MP842/2025-2026/194180-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Construction Lavapadhak Road Laying of Interlocking","Smt. P. T. Usha (2022-28) (NaN-NaN)","Elected MP","N/A","29-Jul-2025","999858"
"6443","Normal/Others","WS/MP847/2025-2026/137524-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6444","Normal/Others","WS/MP847/2025-2026/137523-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6445","Normal/Others","WS/MP847/2025-2026/137525-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6446","Normal/Others","WS/MP847/2025-2026/137527-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6447","Normal/Others","WS/MP847/2025-2026/137526-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6448","Normal/Others","WS/MP847/2025-2026/137528-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6449","Normal/Others","WS/MP847/2025-2026/137529-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6450","Normal/Others","WS/MP847/2025-2026/137533-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6451","Normal/Others","WS/MP847/2025-2026/137534-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
"6452","Normal/Others","WS/MP847/2025-2026/137655-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","241902"
