"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"7302","Normal/Others","WS/MP225/2025-2026/226094-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of CC road from the house of Tulshi God to the residence of Moti God.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","22-Jan-2026","1000000"
"7303","Normal/Others","WS/MP147/2025-2026/184125-Street lights","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","To install high mask light at Vaina Kua intersection of Gram Panchayat Patan.","Shri Pramod Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","18-Dec-2025","400063"
"7304","Normal/Others","WS/MP145/2025-2026/166607-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","Bridge over canal and CC Block Road cum safety wall development work from plot of baluram (east) via house of babu singh to main road in chandela ki guar, GP Chhapli, Panchayat samiti Bhim","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","17-Jan-2026","834589"
"7305","Normal/Others","WS/MP18286/2025-2026/187199-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Installation of  computer sets i9 16 or 32GB Ram 1 TB SSD 4 or 8 GB Graphics 365   Printer Duplex Printer HP High Speed Document Scanner at State Information Commission Pune Bench","Dr. Medha Vishram Kulkarni (2024-30) (NaN-NaN)","Elected MP","Images","08-Oct-2025","2000000"
"7306","Normal/Others","WS/MP041/2025-2026/205767-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Bisfi Prakhand ke Gram panchayat raj tisi narsam uttar gram tisi tola mushari Mohit Mukhiya ke ghar ke baju se masjid tak 500 fit PCC nirman","Dr. Faiyaz Ahmad (2022-28) (NaN-NaN)","Elected MP","N/A","07-Oct-2025","688014"
"7307","Normal/Others","WS/MP140/2025-2026/213566-Purchase of mobile water tankers","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Regarding for giving single walled fabrication of 5000 ltr mobile water tanker. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","09-Dec-2025","365800"
"7308","Normal/Others","WS/MP18385/2025-2026/197446-Construction of footpaths and pedestrian ways","Jharkhand","GIRIDIH(Deputy Commissioner Giridh_IDA)","Construction of paver blocks from Main Road to Muslim Miya house in Village Lakshudih, Rasnajori Panchayat.","Dr. Sarfraz Ahmad (2024-30) (NaN-NaN)","Elected MP","N/A","22-Nov-2025","499629"
"7309","Normal/Others","WS/MP131/2024-2025/162167-Construction of community centers and community halls","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Completion of Community Hall near Jatrapadia at Benagadia, GP- Kalyanpur, Bhubaneswar Block","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","08-Oct-2025","1000000"
"7310","Normal/Others","WS/MP225/2025-2026/214153-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of CC road from the residence of Hari Shankar to Puni Ram residence in the Village and Gram Panchayat Tanaud Subdistrict Pamgarh of Janjgir Champa District of Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","13-Feb-2026","995455"
"7311","Normal/Others","WS/MP225/2025-2026/214152-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of CC road from the residence of Kashi Ram Kewat to Hirauwa Kewat residence in the Village and Gram Panchayat Bhuigaon Subdistrict Pamgarh of Janjgir Champa District of Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","13-Feb-2026","986530"
"7312","Normal/Others","WS/MP225/2025-2026/214150-Provision of escalator and travellators for public use","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of drainage from Pani Tanki to residence of Amal Diha in Village Deori Subdistrict Pamgarh Jahangir Champa District Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","24-Mar-2026","998568"
"7313","Normal/Others","WS/MP225/2025-2026/214151-Development of playfields and sports grounds","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Leveling of the Government School playground in Village Singhaldeep in Gram Panchayat Pandariya Subdistrict Pamgarh of Janjgir Champa District of Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","18-Feb-2026","997058"
"7314","Normal/Others","WS/MP113/2024-2025/142041-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of Cultural Hall near jaspura Masjid","Shri Imran Pratapgarhi (2022-28) (NaN-NaN)","Elected MP","Images","28-Mar-2026","1996779"
"7315","Normal/Others","WS/MP844/2025-2026/178218-Construction of public toilets and bathrooms","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Public Toilets under bridge Malerkotla  Road Chownk Ward NO. 22, Khanna","Dr. Vikramjit Singh Sahney (2022-28) (NaN-NaN)","Elected MP","N/A","06-Apr-2026","577008"
"7316","Normal/Others","WS/MP889/2025-2026/221096-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Vajapur, Ta.Bhabhar Cremation facility work in new crematorium (2025-26)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499722"
"7317","Normal/Others","WS/MP18387/2025-2026/196006-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","GP Singha ke Nebua Naurangiya mein Main Road se Pinku Shahi ke Ghar tak 100 m CC Road ka Nirman Karya","Shri Ratanjit Pratap Narain Singh (2024-30) (NaN-NaN)","Elected MP","N/A","08-Dec-2025","897705"
"7318","Normal/Others","WS/MP166/2024-2025/153896-Construction of buildings for crèches and anganwadies","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Construction of buildings for anganwadies in ward 36 Namakkal MC","Shri K.R.N. Rajeshkumar (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","1599660"
"7319","Normal/Others","WS/MP166/2024-2025/148078-Construction of buildings for crèches and anganwadies","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Construction of New Anganwadi building at Ward 24 H/o Namakkal Municipal Corporation","Shri K.R.N. Rajeshkumar (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","1588223"
"7320","Normal/Others","WS/MP204/2024-2025/174232-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Construction of interlocking tiles road from the house of Shri Jaiveer Singh to the house of Shri Vijay Singh in Harijan Basti under Gram Panchayat Haddipur Grant Bahadarabad","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","10-Oct-2025","994450"
"7321","Normal/Others","WS/MP204/2025-2026/184086-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Construction of interlocking tiles road from the house of dealer Vikram Singh towards Baba Saheb Bhimrao Ambedkar Bhawan in Scheduled Caste Colony of Gram Panchayat Sohalpur (Sikroda), Block Bahadarabad.","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","10-Oct-2025","795016"
"7322","Normal/Others","WS/MP140/2025-2026/168872-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","12-Feb-2026","253700"
"7323","Normal/Others","WS/MP18286/2025-2026/192196-Construction of public libraries and reading rooms","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Construction Of Library at Ward No.11 Kishkindhanagar Kothrud","Dr. Medha Vishram Kulkarni (2024-30) (NaN-NaN)","Elected MP","Images","09-Oct-2025","997192"
"7324","Repair and Renovation","WS/MP18286/2025-2026/192197-Construction of community centers and community halls","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Repair Of Sabhagruh at Ward No.11 Kothrud","Dr. Medha Vishram Kulkarni (2024-30) (NaN-NaN)","Elected MP","Images","09-Oct-2025","995788"
"7325","Trust and Society","WS/MP18403/2024-2025/156153-Construction of rooms and halls in school and colleges","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Char Pargana Prajapati Samaj Shaikshnik Sankul Construction","Shri Mayankkumar Nayak (2024-30) (NaN-NaN)","Elected MP","Images","08-Jan-2026","1000000"
"7326","Normal/Others","WS/MP014/2025-2026/222175-Installing tube-wells and borewells","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction New Open Well 1 Rajiv Nagar 2 Sump in Puliyarai Village and 3 Extension of Pipeline to distribute Drinking watre to Villagers of Puliyarai Panchayat in Sengottai Panchayat Union Tenkasi District","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","10-Oct-2025","6673742"
"7327","Normal/Others","WS/MP015/2025-2026/218653-Lighting of public spaces","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Supply and Installation of Solar Lights at Aduthakudi village Veera sakthi amman kovil Road in Aduthakudi Panchayat","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","475000"
"7328","Normal/Others","WS/MP102/2025-2026/168452-Purchase of IT systems, including hardware and software for educational purposes","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Purchase of Laptops and Projectors G.L.P. School, Thondimmal","Smt. Jebi Mather Hisham (2022-28) (NaN-NaN)","Elected MP","Images","13-Oct-2025","179750"
"7329","Normal/Others","WS/MP18286/2025-2026/192205-Providing drains and gutters for public drainage","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Laying Of Drainage Line at Ward No.11, Kishkindhanagar Kothrud","Dr. Medha Vishram Kulkarni (2024-30) (NaN-NaN)","Elected MP","Images","09-Oct-2025","995693"
"7330","Normal/Others","WS/MP18286/2025-2026/192202-Providing drains and gutters for public drainage","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Laying Of Drainage Line at Ward No.11, Sutardara Kothrud","Dr. Medha Vishram Kulkarni (2024-30) (NaN-NaN)","Elected MP","Images","09-Oct-2025","995708"
"7331","Normal/Others","WS/MP148/2024-2025/160667-Construction of community centers and community halls","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Construction of Community Centre at Meghwal Muhalla (Khasra No. - 1319, Rakba 0.2400), Village - Bathoth, Dist. - Sikar","Shri Randeep Singh Surjewala (2022-28) (NaN-NaN)","Elected MP","Images","23-Jul-2026","1177681"
"7332","Normal/Others","WS/MP840/2024-2025/180390-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT Road from Amalapuram Bobbarlanka road to vakalapudi Suribabu field at Vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7333","Normal/Others","WS/MP840/2024-2025/180393-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from vakalapudi suribabu field to Ayinam Satyanarayana field at vaddipattu V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7334","Normal/Others","WS/MP840/2024-2025/180398-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from Ayinam satyanarayana field to vakalapudi suribabu field at vaddiparru V of atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7335","Normal/Others","WS/MP840/2024-2025/180400-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from vakalapudi suribabu field to Jujjavarapu Umashankar ji field at vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499264"
"7336","Normal/Others","WS/MP840/2024-2025/180403-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from Jujjavarapu Umashankar ji field to vakalapudi janaki ramana field at vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7337","Normal/Others","WS/MP840/2024-2025/180407-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from vakalapudi Janaki ramana field to Jujjavarapu Prakasam field at vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7338","Normal/Others","WS/MP840/2024-2025/180411-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from Jujjavarapu prakasam field to Ane Satyanarayana field at vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7339","Normal/Others","WS/MP840/2024-2025/180414-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT Road from Ane satyanarayana field to Prattipati Sattiyya field at vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7340","Normal/Others","WS/MP840/2024-2025/180416-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from Prattipati Sattiyya field to Prattipati Satyanarayana field at Vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7341","Normal/Others","WS/MP840/2024-2025/180417-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Providing BT road from Prattipati satyanaarayan field to Yetigattu in Rajakapeta at vaddiparru V of Atreyapuram M","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","Images","09-Oct-2025","499263"
"7342","Normal/Others","WS/MP163/2024-2025/136114-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 1st Cross street Tirumalai Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","995540"
"7343","Normal/Others","WS/MP163/2024-2025/136118-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 2nd Cross street in 9th street Extension in Meenakshi Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","995661"
"7344","Normal/Others","WS/MP163/2024-2025/136096-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 9th street Extension North side in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","996418"
"7345","Normal/Others","WS/MP163/2024-2025/136095-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 3rd Cross street in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","995151"
"7346","Normal/Others","WS/MP163/2024-2025/136119-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 3rd Cross street in 9th street Extension in Meenakshi Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","995970"
"7347","Normal/Others","WS/MP18300/2025-2026/134639-Installing hand pumps","Bihar","NAWADA(District Planning Officer NAWADA_IDA)","Installing hand pump","Dr. Bhim Singh (2024-30) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","98600"
"7348","Normal/Others","WS/MP18334/2025-2026/212694-Construction of rooms and halls in school and colleges","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing Flooring With Granite Stone to First Floor Rear  Wing  Laboratary -1 to Govt. Polytechnic Collage, Kamalapuram","Shri Meda Raghunadha Reddy (2024-30) (NaN-NaN)","Elected MP","Images","10-Oct-2025","499528"
"7349","Normal/Others","WS/MP18334/2025-2026/212695-Construction of rooms and halls in school and colleges","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing Main Entrance Gate with Arch and Main Teak Wood Entrance With Granite flooring and other Civil Works in Ground Floor in  Govt. Polytechnic Collage, Kamalapuram","Shri Meda Raghunadha Reddy (2024-30) (NaN-NaN)","Elected MP","Images","10-Oct-2025","499829"
"7350","Normal/Others","WS/MP889/2025-2026/221103-Construction of footpaths and pedestrian ways","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Balodhan, Ta.Bhabhar Paver block work Near Rabarivas Goga Maharaj Temple (2025-26)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","10-Oct-2025","499893"
"7351","Normal/Others","WS/MP18421/2025-2026/162157-Construction of community centers and community halls","Karnataka","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Construction of Common Chaupal at Panchayat Land of Sher Garh Village","Shri Ajay Makan (2024-30) (NaN-NaN)","Elected MP","N/A","10-Nov-2025","990188"
"7352","Repair and Renovation","WS/MP181/2025-2026/133478-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","SHAMLI(DISTRICT MAGISTRATE SHAMLI_IDA)","????? ???????","Dr. Laxmikant Bajpayee (2022-28) (NaN-NaN)","Elected MP","N/A","20-Jan-2026","1430468"
"7353","Normal/Others","WS/MP889/2025-2026/221106-Construction of footpaths and pedestrian ways","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Vajapur Ta Bhabar  Paver block work in Rabari Dahiyavas sheri (2025-26)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","10-Oct-2025","299864"
"7354","Normal/Others","WS/MP18317/2025-2026/166220-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","VIKASKHAND SADAR GRAM MAHARAJGANJ KE BIND PURAVA ME MUNNA BIND KE SAMANE CC ROAD SE MAA KALI MANDIR TAK CC NIRMAN KARY LENTH 110 M","Dr. Sangeeta Balwant (2024-30) (NaN-NaN)","Elected MP","Images","20-Jan-2026","560280"
"7355","Normal/Others","WS/MP18332/2024-2025/138815-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","PCC ROAD- PUSA CHAKLA WAINI , waini village, Ward No-9 me Sulatan ke ghar se Mohammad Suhail ke Ghar Tak Road Nirman.","Dr. Dharmshila Gupta (2024-30) (NaN-NaN)","Elected MP","Images","11-Oct-2025","1394469"
"7356","Normal/Others","WS/MP233/2025-2026/227312-Setting up public non-conventional energy plants","Nagaland","MON(Deputy Commissioner Mon_IDA)","installation of Solar power grid at Oting Village will ensure continuous supply of power to the villages. This will also help the villagers to continue with their economic activity during night time and access to clean energy.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","1000000"
"7357","Normal/Others","WS/MP163/2024-2025/136121-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 6th Cross street in Meenakshi Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","996150"
"7358","Normal/Others","WS/MP163/2024-2025/136092-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 1st   Cross street in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","995487"
"7359","Normal/Others","WS/MP163/2024-2025/136091-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 1st street East Side in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","10-Oct-2025","995929"
"7360","Normal/Others","WS/MP163/2024-2025/136097-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 1st street West side in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996730"
"7361","Normal/Others","WS/MP163/2024-2025/136094-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 2nd Cross street in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996235"
"7362","Normal/Others","WS/MP163/2024-2025/136093-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at   4th street   East side in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996598"
"7363","Normal/Others","WS/MP163/2024-2025/136100-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 9th street Extension South Side in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996353"
"7364","Normal/Others","WS/MP163/2024-2025/136099-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 4th street West  side  in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996511"
"7365","Normal/Others","WS/MP163/2024-2025/136098-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 4th Cross street in Meenakshi Garden in Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","995587"
"7366","Normal/Others","WS/MP163/2024-2025/136113-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Main Road East side in Tirumalai Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996829"
"7367","Normal/Others","WS/MP163/2024-2025/136115-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 2nd Cross street Tirumalai Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996759"
"7368","Normal/Others","WS/MP163/2024-2025/136117-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Main Road West side in Tirumalai Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996151"
"7369","Normal/Others","WS/MP163/2024-2025/136116-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 3rd Cross street Tirumalai Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996541"
"7370","Normal/Others","WS/MP163/2024-2025/136120-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 5th Cross street in Meenakshi Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996064"
"7371","Normal/Others","WS/MP163/2024-2025/136122-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at 4th Cross street in 9th street Extension in Meenakshi Garden, Mathur Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","996742"
"7372","Normal/Others","WS/MP199/2025-2026/171316-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","CC Road and Naali Work","Dr. Sudhanshu Trivedi (2024-30) (NaN-NaN)","Elected MP","N/A","11-Oct-2025","1429611"
