Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
847,Uttarakhand,Street lights,WS/MP478/2026-2027/277476,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,25-Aug-26,Masti ram,Payment In-Progress,249225
848,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18048/2024-2025/149433,BIJAPUR(Collector Bijapur_IDA),MAHESH KASHYAP,BASTAR(ST),17-Jun-26,GRAM PANCHAYAT MADDED,Payment In-Progress,346092
849,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18211/2025-2026/215170,DEORIA(DISTRICT MAGISTRATE DEORIA),SHASHANK MANI,DEORIA,07-Aug-26,MS AMAR MANI TRIPATHI,Payment In-Progress,539782
850,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18199/2025-2026/252316,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),LALJI VERMA,AMBEDKAR NAGAR,05-May-26,MS SAKET TRADERS,Payment In-Progress,747772
851,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18055/2026-2027/275231,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,21-Aug-26,RAVALIYA GRAM PANCHAYAT,Payment In-Progress,199852
852,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18211/2025-2026/241674,DEORIA(DISTRICT MAGISTRATE DEORIA),SHASHANK MANI,DEORIA,29-May-26,DINESH KUMAR DUBEY,Payment In-Progress,49125
853,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18199/2025-2026/247251,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),LALJI VERMA,AMBEDKAR NAGAR,13-Aug-26,MS SAKET TRADERS,Payment In-Progress,1658090
854,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18199/2025-2026/200141,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),LALJI VERMA,AMBEDKAR NAGAR,29-Jul-26,MS SAKET TRADERS,Payment In-Progress,442410
855,Karnataka,Construction of community centers and community halls,WS/MP623/2026-2027/247160,VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA),Ramesh Chandappa Jigajinagi,BIJAPUR(SC),30-Jul-26,NAGARAJ PRAKASH PATTAR,Payment In-Progress,187500
856,Assam,Construction of community centers and community halls,WS/MP18024/2026-2027/207563,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),GAURAV GOGOI,JORHAT,28-Aug-26,RAJKUMAR DUARAH,Payment In-Progress,21300
857,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270554,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
858,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270551,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
859,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270549,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
860,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270552,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
861,Odisha,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP370/2025-2026/270550,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),25-Aug-26,Geetanjali Traders,Payment In-Progress,465600
862,Andhra Pradesh,Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons,WS/MP524/2026-2027/290356,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Midhun Reddy,RAJAMPET,03-Aug-26,Assistant Director Welfare of Differently Abled TG  Sr Citizens YSR Annamayya District,Payment In-Progress,597000
863,Andhra Pradesh,Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons,WS/MP524/2026-2027/290354,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Midhun Reddy,RAJAMPET,20-Jul-26,Assistant Director Welfare of Differently Abled TG  Sr Citizens YSR Annamayya District,Payment In-Progress,361000
864,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18346/2026-2027/277203,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI,RAE BARELI,25-Jul-26,SHIV ENTERPRISES,Payment In-Progress,489646
865,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18346/2026-2027/277213,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI,RAE BARELI,25-Jul-26,SHIV ENTERPRISES,Payment In-Progress,385120
866,West Bengal,Construction of additional rooms and halls in the existing public and community building,WS/MP858/2026-2027/252029,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Asit Kumar Mal,BOLPUR(SC),24-Aug-26,SEKH BASIRUDDIN,Payment In-Progress,1100000
867,Karnataka,Construction of community centers and community halls,WS/MP623/2026-2027/247169,VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA),Ramesh Chandappa Jigajinagi,BIJAPUR(SC),30-Jul-26,B K Appanna,Payment In-Progress,187500
